date,max_temp,min_temp
2026-09-08,29.1,25.0
2026-09-09,29.7,24.5
2026-09-10,29.4,23.6
2026-09-11,29.0,23.3
2026-09-12,28.0,22.2
2026-09-13,30.1,22.5
2026-09-14,30.1,23.0
